Year,Operating Revenue,Fuel Expense,Labor Expense,Other Expense*,Operating Expense,Operating Profit,Pre-Tax Profit,Net Profit
1977,"19,423","3,618","7,481","7,450","18,549",874,888,669
1978,"22,245","4,040","8,569","8,315","20,924","1,320","1,354","1,176"
1979,"26,411","6,267","9,975","9,960","26,203",209,148,325
1980,"31,950","9,443","11,301","11,395","32,140",-189,-157,51
1981,"34,390","10,180","12,124","12,534","34,839",-448,-700,-257
1982,"34,820","9,643","12,348","13,575","35,566",-747,"-1,005",-906
1983,"37,124","8,959","13,113","14,764","36,836",289,-83,-152
1984,"41,998","9,322","13,545","17,178","40,044","1,954","1,278",645
1985,"44,537","9,283","14,351","19,605","43,238","1,299",986,846
1986,"44,867","6,951","15,127","21,898","43,976",891,122,-122
1987,"50,957","7,530","16,398","25,187","49,115","1,842",692,163
1988,"56,657","7,479","17,845","28,532","53,857","2,800","2,568","1,314"
1989,"60,577","8,501","19,437","31,400","59,338","1,239",793,-85
1990,"65,817","11,639","21,543","35,090","68,272","-2,455","-4,345","-4,114"
1991,"64,688","9,558","21,751","35,672","66,981","-2,293","-2,509","-2,056"
1992,"67,308","9,124","23,086","37,895","70,105","-2,797","-3,836","-4,681"
1993,"72,801","8,781","23,930","39,146","71,857",944,"-1,789",163
1994,"74,632","8,213","24,744","39,715","72,671","1,961",-679,-682
1995,"79,081","8,436","25,457","40,043","73,936","5,145","3,144","2,001"
1996,"84,733","10,311","26,477","42,578","79,366","5,367","4,048","2,422"
1997,"90,143","10,301","27,931","44,461","82,693","7,450","7,095","4,779"
1998,"91,949","8,342","29,425","46,141","83,908","8,042","7,360","4,425"
1999,"96,163","9,020","31,394","48,802","89,216","6,948","7,954","4,686"
2000,"105,311","14,099","34,490","51,020","99,609","5,702","4,776","2,238"
2001,"92,012","13,120","36,261","52,996","102,377","-10,365","-10,656","-8,008"
2002,"84,255","10,959","35,653","47,186","93,799","-9,544","-14,578","-11,762"
2003,"92,950","12,853","34,148","48,998","95,999","-3,049","-2,025","-2,088"
2004,"106,734","18,713","33,848","57,549","110,109","-3,375","-8,575","-10,046"
2005,"119,010","27,221","31,159","62,635","121,015","-2,005","-27,605","-28,647"
2006,"130,961","31,539","30,338","64,049","125,926","5,035","16,570","16,527"
2007,"138,221","33,877","31,045","66,625","131,547","6,675","7,909","6,306"
2008,"146,392","47,945","30,798","73,246","151,989","-5,597","-26,155","-24,500"
2009,"123,455","27,419","31,026","63,988","122,433","1,022","-3,440","-2,821"
2010,"138,642","32,314","32,276","65,760","130,350","8,292","3,088","2,245"
2011,"153,049","42,712","33,334","71,733","147,779","5,270",847,525
2012,"156,374","43,987","35,630","70,720","150,337","6,037",548,131
2013,"161,595","41,663","35,787","72,837","150,287","11,309","5,179","12,183"
2014,"169,277","42,473","38,289","73,914","154,676","14,601","9,850","7,383"
2015,"168,874","26,174","42,642","72,064","140,881","27,994","23,886","24,794"
2016,"168,129","21,672","46,708","74,653","143,033","25,096","21,826","14,224"
2017,"175,553","25,268","50,306","78,355","153,929","21,624","19,324","15,666"
2018,"187,474","33,620","52,660","83,548","169,828","17,646","15,163","11,775"
2019,"196,071","31,995","56,624","86,589","175,208","20,862","19,353","14,870"
